StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,age,gender,gender_4_TEXT,race,race_6_TEXT,pol_view,pol_party,slb_1,slb_2,slb_3,slb_4,slb_5,slb_6,slb_7,slb_8,slb_9,slb_10,slb_11,slb_12,attn_check_1,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q19,Q20,Q21,Q23,Q24,Q25,Q26,awb_1,awb_2,awb_3,awb_4,awb_5,awb_6,awb_7,awb_8,attn_check_2,rac_prog,issues,separate,condition
10/29/18 0:00,10/29/18 0:02,0,100,86,1,10/29/18 0:02,R_UJSbrdKllYpMVK9,,,,,anonymous,EN,54,5,,5,,,,7,6,1,2,4,4,1,3,6,6,1,1,,Underdogs ,3,8,1,2,1,4,,,,,,,,2,6,5,2,5,5,4,3,,4,,,control
10/29/18 0:03,10/29/18 0:04,0,100,63,1,10/29/18 0:04,R_1g5fs5pamciZ1IB,,,,,anonymous,EN,23,5,,5,,,,7,6,1,1,2,4,4,4,6,7,1,1,,swim team victory,3,8,2,2,1,4,,,,,,,,3,5,5,6,4,4,6,2,,5,,,control
10/29/18 0:07,10/29/18 0:08,0,100,64,1,10/29/18 0:08,R_etDLO2hVXa1ToQh,,,,,anonymous,EN,85,2,,5,,,,7,7,1,1,2,2,4,4,7,7,1,4,,underdogs ,4,7,2,2,2,3,,,,,,,,6,4,5,4,3,5,3,6,,5,,,control
10/29/18 0:09,10/29/18 0:10,0,100,57,1,10/29/18 0:10,R_3fiL9GlxnXVr49a,,,,,anonymous,EN,64,5,,5,,,,7,7,1,1,1,4,4,4,7,7,1,1,,,,,,,,,minorities on rise ,3,6,2,2,2,4,6,5,4,6,5,6,6,3,,6,,,treatment
10/29/18 18:46,10/29/18 19:03,1,100,986,1,10/29/18 19:03,R_1CvyiW5n7Kvag2c,,,,,preview,EN,25,2,,5,,,,3,1,4,7,4,4,6,5,1,1,7,6,,"Unexpectedly, the Jets swim team came from underdog status and are winning a lot of swimming competitions. ",5,3,2,1,1,5,,,,,,,,1,1,7,1,2,2,1,6,,3,,,control
10/23/18 14:52,10/23/18 14:53,0,22,19,0,10/30/18 14:53,R_2QfW701STszf5P6,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
10/25/18 19:04,10/25/18 20:12,0,2,4073,0,11/1/18 20:13,R_28U1FTexALf9g05,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
10/23/18 21:26,10/28/18 23:52,0,4,440762,0,11/4/18 22:53,R_3dQvODUtC4E5g56,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
10/29/18 0:00,10/29/18 0:00,0,22,3,0,11/4/18 23:00,R_3g0zVgaHliRrqvv,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
10/29/18 0:00,10/29/18 0:00,8,22,4,0,11/4/18 23:01,R_2ydaWDaWbAFnt4q,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
10/29/18 0:03,10/29/18 0:03,8,22,4,0,11/4/18 23:04,R_3NUo9BYnddjt8jp,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/18/18 16:43,11/18/18 16:45,1,100,120,1,11/18/18 16:45,R_YWHC8GtyBVUkRY5,,,,,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
11/18/18 18:12,11/18/18 18:13,0,100,70,1,11/18/18 18:13,R_31vbuk9nudSrffm,,,,,anonymous,EN,24,2,,5,,2,2,6,4,4,5,2,2,4,3,6,3,3,5,7,,,,,,,,Sentences about the article ,4,7,2,2,2,4,5,5,2,7,3,5,2,3,,6,NA,,treatment
11/18/18 20:02,11/18/18 20:07,0,100,292,1,11/18/18 20:07,R_27D0oJ2ei7An6vy,,,,,anonymous,EN,24,2,,5,,2,2,3,2,3,6,4,3,2,4,2,2,6,6,7,,,,,,,,The article describes racial progress in which minority groups are making great advancements.,6,4,1,3,1,6,1,1,7,1,2,1,1,7,,5,No issues at all ,,treatment
11/19/18 14:29,11/19/18 14:34,1,100,279,1,11/19/18 14:34,R_31vKFhuPMgoVOal,,,,,preview,EN,30,2,,5,,2,3,3,1,7,6,3,5,7,6,1,1,6,7,7,I didn't read it.,3,3,4,4,2,6,,,,,,,,2,5,3,2,2,1,1,2,,5,nope,,control
11/18/18 18:04,11/18/18 18:04,0,4,5,0,11/25/18 18:05,R_2pPHS7PN0SBE018,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/18/18 18:05,11/18/18 18:05,0,2,5,0,11/25/18 18:05,R_27BcP9UmfEuYsKk,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/18/18 18:08,11/18/18 18:08,8,2,2,0,11/25/18 18:08,R_6usjitZUt5Rp9Bv,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
11/18/18 18:10,11/18/18 18:11,0,4,5,0,11/25/18 18:11,R_XiyxegDV9U5kcEh,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/18/18 18:24,11/18/18 18:25,8,2,18,0,11/25/18 18:31,R_Y3sQhy2Yhh5gitz,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
11/18/18 18:25,11/18/18 18:25,8,4,35,0,11/25/18 18:32,R_PUSh7dc0LptDsbf,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/18/18 18:25,11/18/18 19:59,0,15,5617,0,11/25/18 20:00,R_ZESl8B2TBOfjhu1,,,,,anonymous,EN,24,2,,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
11/18/18 21:42,11/18/18 21:42,0,4,5,0,11/25/18 21:43,R_22mHIvFZ1XQepXv,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
11/28/18 22:00,11/28/18 22:05,0,100,277,1,11/28/18 22:05,R_sNdfXRP6TtCq3aV,,,,,anonymous,EN,35,1,,5,,4,4,5,2,4,4,6,5,5,5,2,3,5,5,7,,,,,,,,It's an article that is talking about the change landscape of the American racial profile. It talks about how by 2030 (which is a bad estimate) that white will not longer be the majority race.,5,4,4,3,1,4,2,2,1,3,2,2,2,1,4,5,"Yes. You're attention check to ""not select a response"" REQUIRES that you select a response to move to the next page.",,treatment
11/28/18 22:16,11/28/18 22:21,0,100,318,1,11/28/18 22:21,R_1Qhm16buqK8fJK2,,,,,anonymous,EN,36,1,,5,,6,6,3,5,5,2,3,5,3,2,4,3,4,2,7,"The under dog team ended up winning. I like how they were a swimming team, I can relate to that I used to be on a swim team. ",6,6,2,1,1,6,,,,,,,,7,4,1,7,7,3,4,4,,7,"I tried my hardest to remember as much as I could to answer it correctly. I sure hope I got it right, I have a horrible memory and didnt want to cheat and copy paste it for later, I tried to straight remember it. I hope I got it all right. thank you though I thoroughly enjoyed it. ",,control
11/28/18 22:22,11/28/18 22:26,0,100,262,1,11/28/18 22:26,R_2yfp63cj67RSq0f,,,,,anonymous,EN,31,2,,5,,2,2,4,2,6,6,3,3,6,6,2,2,6,5,7,,,,,,,,Blacks have been able to make significant gains in social status and in the future race will no longer be a marker of status.,6,4,4,3,1,4,2,4,5,4,2,2,2,2,,5,"no issues, thank you!",,treatment
11/28/18 23:01,11/28/18 23:05,0,100,249,1,11/28/18 23:05,R_3hDBAHWgAdxdC6H,,,,,anonymous,EN,28,2,,5,,5,5,1,7,6,7,7,7,3,1,1,7,1,1,7,The article was about the jets being USA swim team,6,3,2,1,1,6,,,,,,,,7,7,1,7,7,7,7,1,,7,no,,control
11/28/18 23:07,11/28/18 23:11,0,100,238,1,11/28/18 23:11,R_305ItSgLuamk3GZ,,,,,anonymous,EN,34,2,,5,,4,2,5,4,4,4,5,5,4,3,5,5,3,3,7,,,,,,,,The article stated that whites no longer held the highest social standing. Minorities are rising in status at a higher rate than white Americans.,4,4,1,3,1,3,5,5,3,5,4,5,5,3,,5,None,,treatment
11/29/18 0:16,11/29/18 0:27,0,100,656,1,11/29/18 0:27,R_1o6bo7Ii6DdgNud,,,,,anonymous,EN,43,1,,5,,6,6,5,5,5,4,7,7,4,3,5,4,2,3,7,,,,,,,,"The social position of minorities has been improving dramatically. By 2030, race won't be an indicator of social status.",5,4,1,3,1,5,4,4,2,3,5,5,4,1,,7,no,,treatment
11/29/18 0:20,11/29/18 0:31,0,100,647,1,11/29/18 0:31,R_2UWcVPAzl7v3Jbo,,,,,anonymous,EN,29,1,,5,,1,4,6,4,7,2,7,7,5,5,1,1,7,7,7,"Though the Jets are new to the National Swimming League they have proven that they can keep up with the competition. During tryouts, the team won more silver and gold medals than last year's champions. Many think they will continue to perform better than the other teams, and claim the spot for USA in the next Olympic games.",6,5,2,1,1,6,,,,,,,,2,5,2,5,4,1,5,1,,6,Everything was clear.,,control
11/29/18 0:55,11/29/18 1:00,0,100,311,1,11/29/18 1:00,R_2AMCfwJ4pKsjOuE,,,,,anonymous,EN,43,1,,5,,3,4,3,5,6,6,7,7,3,1,4,5,3,5,7,"The article is about the Jets, a swimming team, that was known to be an underdog but has not become the strongest team. They are expected to continue their winning streak and will likely be the team that swims for the US in the next Olympics.",5,4,2,1,1,6,,,,,,,,7,7,1,7,7,5,7,1,,7,no issues,,control
11/29/18 1:58,11/29/18 2:01,0,100,165,1,11/29/18 2:01,R_1C2tmsQmKECpu02,,,,,anonymous,EN,27,1,,5,,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,positive thinging,5,6,2,1,1,6,,,,,,,,7,5,2,5,6,6,5,6,,6,no,,control
12/2/18 23:15,12/2/18 23:16,1,100,64,1,12/2/18 23:16,R_24MBs86IBUMRJ6s,,,,,preview,EN,18,5,,"1,6",,3,3,4,3,4,4,4,3,6,3,4,4,4,4,4,,,,,,,,aSDf,3,4,1,3,1,4,4,4,4,4,4,4,4,4,4,4,sadf,,treatment
12/3/18 20:55,12/3/18 20:56,0,100,90,1,12/3/18 20:56,R_3qNVKfeL0NnF2GM,,,,,anonymous,EN,25,2,,5,,3,4,7,5,5,6,3,4,3,3,4,6,4,5,7,,,,,,,,Article on racial progress ,4,7,2,2,2,4,6,5,6,2,6,3,3,4,6,5,No,,treatment
12/3/18 20:56,12/3/18 20:58,0,100,107,1,12/3/18 20:58,R_2D8Offh2r2n0nf7,,,,,anonymous,EN,28,2,,5,,3,2,3,6,5,4,5,2,2,6,6,3,3,4,7,,,,,,,,article ,4,7,4,3,1,4,5,5,5,3,5,3,3,7,,5,No,,treatment
12/3/18 20:58,12/3/18 21:00,0,100,102,1,12/3/18 21:00,R_3hluOlPr1nO2eVn,,,,,anonymous,EN,29,3,,5,,5,3,4,4,6,5,5,4,4,6,4,5,6,3,7,article,5,3,3,3,2,4,,,,,,,,5,3,5,5,2,5,3,7,,5,no,,control
12/3/18 21:19,12/3/18 21:20,0,100,73,1,12/3/18 21:20,R_1Eh7qEghyLNW9Re,,,,,anonymous,EN,25,3,,5,,5,3,4,4,6,6,3,3,7,6,3,5,5,3,7,1,4,3,2,2,1,7,,,,,,,,4,2,5,2,5,7,5,5,,5,No,4,control
11/29/18 0:48,11/29/18 0:53,0,58,301,0,12/4/18 18:26,R_1F2Q0ehQsJl15xy,,,,,anonymous,EN,44,1,,5,,7,7,6,6,2,4,6,6,3,1,5,5,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
12/4/18 18:15,12/4/18 18:16,0,12,21,0,12/4/18 18:26,R_2QKVQ2ErKw3inig,,,,,anonymous,EN,25,2,,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
12/4/18 19:01,12/4/18 19:05,0,100,237,1,12/4/18 19:05,R_py3zKlGSqJSPFJL,,,,,anonymous,EN,30,1,,5,,1,2,1,1,7,7,2,4,7,7,1,1,7,7,7,"The relatively new teams, the Jets, have achieved great success in the National Swimming League. They have gone from underdog to league leaders.",6,5,2,1,1,6,,,,,,,,2,2,7,2,1,1,1,7,,5,no issues,2,control
12/4/18 19:00,12/4/18 19:05,0,100,275,1,12/4/18 19:05,R_3KNoUzzAGDhE2Dj,,,,,anonymous,EN,34,2,,5,,6,6,1,6,2,4,1,4,7,6,4,5,4,5,7,,,,,,,,"Rise of Minorities in America.
",5,4,1,2,2,4,5,4,4,4,7,5,6,5,,5,No at all,5,treatment
12/4/18 19:00,12/4/18 19:05,0,100,281,1,12/4/18 19:05,R_11cjeZijR6Rq6gO,,,,,anonymous,EN,41,1,,5,,3,3,3,3,7,7,1,5,5,6,2,1,7,6,7,The Jets are the real deal. They are taking the swimming world by storm and look to be some of the favorites in the 2020 Olympics.,5,5,2,1,1,6,,,,,,,,,4,1,5,1,4,5,1,,4,none,5,control
12/4/18 19:01,12/4/18 19:05,0,100,291,1,12/4/18 19:05,R_3nwvNoEkcGIZ8jL,,,,,anonymous,EN,23,1,,5,,3,3,6,5,5,1,5,5,3,4,5,5,4,3,7,,,,,,,,That African Americans and Latinos have made social progress and are involved in more areas then they were previously. ,4,5,1,4,2,4,4,6,1,4,4,4,4,4,,5,n/a,5,treatment
12/4/18 19:00,12/4/18 19:05,0,100,300,1,12/4/18 19:05,R_2fDrjO3xSMNuyLk,,,,,anonymous,EN,51,2,,4,,5,5,4,5,5,5,5,4,6,5,3,3,6,4,7,,,,,,,,minorities are able to gain higher positions and power ,5,4,1,2,1,4,4,4,1,5,5,3,3,4,,6,no,4,treatment
12/4/18 19:00,12/4/18 19:06,0,100,329,1,12/4/18 19:06,R_2To7wOVsKMJFVXy,,,,,anonymous,EN,26,2,,5,,4,3,1,1,7,7,1,1,7,7,2,3,6,5,7,,,,,,,,"Minorities are rising to the top, it's no longer just the whites at the top.",6,3,1,3,1,4,5,5,1,7,1,7,5,1,,4,No issues,5,treatment
12/4/18 19:02,12/4/18 19:06,0,100,247,1,12/4/18 19:06,R_0lJ7TPiGXaRDG4F,,,,,anonymous,EN,25,1,,5,,6,6,7,7,1,1,7,7,1,1,7,7,1,1,7,,,,,,,,Minorities are rising in power around the world. Race won't be a determining factor by 2030.,4,4,1,3,1,5,5,5,1,7,6,4,5,1,,7,No issues.,1,treatment
12/4/18 19:03,12/4/18 19:09,0,100,334,1,12/4/18 19:09,R_270Pe5lA0nJ7W4i,,,,,anonymous,EN,30,1,,5,,3,3,6,6,2,5,6,6,5,6,4,3,6,3,7,The Jets is a swimming team that will be qualifying for the US Olympics in 2020.  They are superior to team Torpedo as they excel in all forms of swimming.,5,6,2,1,1,6,,,,,,,,6,2,1,7,1,5,6,2,,6,none,7,control
12/4/18 19:04,12/4/18 19:11,0,100,426,1,12/4/18 19:11,R_1lsFZ7lRC5gz2rr,,,,,anonymous,EN,38,2,,5,,1,1,5,1,7,6,4,5,5,7,6,2,7,7,7,,,,,,,,"Minorities (non-whites) have seen increases in college education,  starting salaries and status. By 2030 whites will not have the status and opportunists they appear to have currently due to their rce",5,6,1,3,1,4,1,2,6,5,2,1,1,7,,6,no,4,treatment
12/4/18 19:01,12/4/18 19:12,0,100,607,1,12/4/18 19:12,R_2ONM5ax8ztSoIdc,,,,,anonymous,EN,36,1,,5,,2,3,4,3,7,6,2,4,6,6,2,2,6,7,7,,,,,,,,"The article claims that recently, racial minorities are doing a lot better in America. It cites some powerful racial minorities like Obama and Sotomayor. It then gives some stats about racial minorities getting into college more and having higher incomes. It then states that if trends continue race will no longer be a factor in America by 2030. I am highly suspect of this entire article.",6,8,1,3,1,7,2,1,5,4,2,2,1,6,,6,"No issues, no problems.",1,treatment
12/4/18 19:01,12/4/18 19:12,0,100,634,1,12/4/18 19:12,R_1KuVPqtCLENIoO9,,,,,anonymous,EN,50,1,,5,,6,6,4,4,5,6,7,5,4,4,3,2,3,4,7,"The Jets, a swim team from the Northwest, are winning a great deal of gold and silver medals outdoing the Torpedoes while contending for top spots at the next Olympic.  Sports Illustrated is covering them extensively.",5,5,2,1,1,6,,,,,,,,7,5,2,5,3,3,4,2,,5,No.,7,control
12/4/18 19:07,12/4/18 19:12,0,100,297,1,12/4/18 19:12,R_2zUAnRlKkWGYQsU,,,,,anonymous,EN,24,2,,5,,7,7,6,7,2,2,7,7,1,1,7,7,1,1,7,,,,,,,,The article basically says that Blacks are complaining about nothing because conditions compared to whites are almost the same for the same education/qualifications. Basically it says that Blacks should stop whining about it. ,3,6,1,3,1,6,7,7,1,7,4,7,7,1,,7,"No, I think I like your study. ",3,treatment
12/4/18 19:02,12/4/18 19:12,0,100,602,1,12/4/18 19:12,R_1FkSirQCFjPYSoJ,,,,,anonymous,EN,57,1,,5,,2,2,2,2,7,7,3,3,6,6,1,1,7,7,7,"The Jets, after being seen as the underdogs of the National Swimming League for a time, have now rallied, and are quickly gaining the lead in all the swimming competitions. This year they have even surpassed the Torpedo, last year's champions. Surprisingly, the Jets are excelling in all three strokes, which is rare for a swimming team. If things continue to improve, the Jets might be the team representing the US in the 2020 Olympics.",5,7,2,1,1,6,,,,,,,,2,2,5,3,3,2,2,5,,5,n/a,7,control
12/4/18 19:06,12/4/18 19:13,0,100,414,1,12/4/18 19:13,R_1rc378FPKsIx5aj,,,,,anonymous,EN,47,2,,5,,2,1,1,1,7,7,4,4,7,7,1,1,7,7,7,"A new team to the National Swimming League, the Jets, have outperformed other dominant teams, among them, the Torpedoes. Unlike other teams, the Jets are strong in all strokes and have won several medals. It's possible that the U.S. Olympic team will be all Jets members this time around.",6,6,2,1,1,6,,,,,,,,1,1,5,2,2,1,1,6,,2,No issues at all.,7,control
12/4/18 19:07,12/4/18 19:14,0,100,410,1,12/4/18 19:14,R_1FnalMO6oTYa1YH,,,,,anonymous,EN,34,2,,5,,1,2,4,5,7,7,4,2,7,7,1,1,4,7,7,The jets are starting to come ahead and excel in more than one swimming stroke. They could be as good if not better than the USA. The team is making great strides,6,3,2,1,1,6,,,,,,,,1,1,5,2,1,2,1,7,,2,no,4,control
12/4/18 19:17,12/4/18 19:22,0,100,291,1,12/4/18 19:22,R_2zYEZtjNIqYPiyx,,,,,anonymous,EN,30,1,,5,,5,6,2,2,6,7,4,4,4,5,1,2,5,6,7,The underdog Jets won another swim meet. They are said to be shaking up the swimming establishment. They are doing extremely well,6,5,2,1,1,6,,,,,,,,4,4,1,4,5,3,4,1,,7,no,7,control
12/4/18 19:18,12/4/18 19:27,0,100,572,1,12/4/18 19:28,R_bg9Pn6Iaxd1XY6B,,,,,anonymous,EN,31,1,,5,,6,5,4,5,4,6,5,5,5,4,5,5,5,6,7,,,,,,,,"This article described the growing prominence of minorities in american society. It went in to notable figure of color and how in the near future, those once to be thought of as a minority will now be the majority in this country.",5,4,1,3,1,5,6,5,1,5,4,5,5,5,,6,No,1,treatment
12/4/18 19:16,12/4/18 19:28,0,100,764,1,12/4/18 19:28,R_1ILOSr3KFiK7pdK,,,,,anonymous,EN,28,1,,5,,5,5,3,5,5,5,5,5,5,5,4,4,3,3,7,,,,,,,,The social power of ethnic minorities in America is increasing. Minorities are better able to rise to positions of power in this country.,4,3,1,3,1,4,6,4,2,5,4,4,5,2,,5,No issues.,2,treatment
12/4/18 19:20,12/4/18 19:32,0,100,708,1,12/4/18 19:32,R_1gA5guuUHxxTAex,,,,,anonymous,EN,29,1,,5,,1,1,5,3,3,2,4,4,5,5,7,1,7,7,7,"A swim team, the Jets, is doing quite well. In fact, they've exceeded all reasonable expectations. Folks are quite pleased with their performance and have speculated about the future.",5,6,1,1,1,6,,,,,,,,2,1,2,4,5,1,5,2,,3,no,7,control
